Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score
34M,0,0.938,0.0081983603279344,l7y253ps,0.0037992401519696,
34M,0,1.2915,0.0227954409118176,b26a037f,0.0037992401519696,
34M,0,1.5,0.0,k9izxwui,0.0037992401519696,
34M,1,0.75,0.0035992801439712,tfkvnusd,0.0021995600879824,
34M,1,0.938,0.0065986802639472,8n3zetho,0.0021995600879824,
34M,1,1.2915,0.0135972805438912,zmwatvry,0.0021995600879824,
34M,1,1.5,0.0093981203759248,2qw4y7w8,0.0021995600879824,
34M,3,0.75,0.0055988802239552,0em8db96,0.0025994801039792,
34M,3,0.938,0.0083983203359328,esc0bjbc,0.0025994801039792,
34M,3,1.2915,0.010997800439912,sjbh4tgg,0.0025994801039792,
34M,3,1.5,0.018996200759848,q9bqv4r3,0.0025994801039792,
34M,10,0.75,0.010997800439912,lyflkvl2,0.0075984803039392,
34M,10,0.938,0.0147970405918816,vxjxrr4b,0.0075984803039392,
34M,10,1.2915,0.0233953209358128,69dsn9j5,0.0075984803039392,
34M,10,1.5,0.0251949610077984,estw5m85,0.0075984803039392,
34M,32,0.75,0.0127974405118976,8obo5qaf,0.0163967206558688,
34M,32,0.938,0.0113977204559088,nxtg9nid,0.0163967206558688,
34M,32,1.2915,0.018996200759848,0z511j8a,0.0163967206558688,
34M,32,1.5,0.0,w16q2gvs,0.0163967206558688,
34M,100,0.75,0.0135972805438912,qu6slup9,0.0193961207758448,
34M,100,0.938,0.0121975604879024,uyzjvhv3,0.0193961207758448,
34M,100,1.2915,0.016996600679864,ofor5inu,0.0193961207758448,
34M,100,1.5,0.0001999600079984,8iuegnmy,0.0193961207758448,
34M,316,0.75,0.0201959608078384,behsyqjs,0.0731853629274145,0.2759562841530051
34M,316,0.938,0.0081983603279344,dca4dd9y,0.0731853629274145,0.11202185792349713
34M,316,1.2915,0.0257948410317936,jaxzpum8,0.0731853629274145,0.3524590163934422
34M,316,1.5,0.0253949210157968,h8kfkkwe,0.0731853629274145,0.34699453551912524
62M,0,0.0,0.0125974805038992,w7lc21qi,0.0125974805038992,
62M,0,0.1,0.0145970805838832,vazqzdc6,0.0125974805038992,
62M,0,0.1778,0.0155968806238752,cotkdr1d,0.0125974805038992,
62M,0,0.3162,0.0173965206958608,tqj20m96,0.0125974805038992,
62M,0,0.5623,0.008998200359928,ze5nnxjy,0.0125974805038992,
62M,0,1.0,0.0123975204959008,qi1nx0ob,0.0125974805038992,
62M,1,0.0,0.0087982403519296,q3hu7tjb,0.0087982403519296,
62M,1,0.1,0.006998600279944,blmuyzmf,0.0087982403519296,
62M,1,0.1778,0.0071985602879424,vbjclhh4,0.0087982403519296,
62M,1,0.3162,0.008998200359928,lk01qirr,0.0087982403519296,
62M,1,0.5623,0.0115976804639072,uyznhtit,0.0087982403519296,
62M,1,1.0,0.0133973205358928,orx13ffu,0.0087982403519296,
62M,3,0.0,0.0147970405918816,rbcd517k,0.0147970405918816,
62M,3,0.1,0.0143971205758848,qr4tzfw2,0.0147970405918816,
62M,3,0.1778,0.0137972405518896,hc1s3i2w,0.0147970405918816,
62M,3,0.3162,0.0133973205358928,glduk1ic,0.0147970405918816,
62M,3,0.5623,0.0147970405918816,v9hosq41,0.0147970405918816,
62M,3,1.0,0.0141971605678864,75i9ojta,0.0147970405918816,
62M,10,0.0,0.0165966806638672,fbe6vxot,0.0165966806638672,
62M,10,0.1,0.0155968806238752,tziyotyz,0.0165966806638672,
62M,10,0.1778,0.0157968406318736,q5sd7hy0,0.0165966806638672,
62M,10,0.3162,0.014629258517034,4khftqaw,0.0165966806638672,
62M,10,0.5623,0.0183963207358528,otg13mgv,0.0165966806638672,
62M,10,1.0,0.0115976804639072,wm6nr8a4,0.0165966806638672,
62M,32,0.0,0.0177964407118576,24dudner,0.0177964407118576,
62M,32,0.1,0.0185962807438512,7n5gd54v,0.0177964407118576,
62M,32,0.1778,0.01499700059988,4qai0lfx,0.0177964407118576,
62M,32,0.3162,0.0151969606078784,w9dxdjbd,0.0177964407118576,
62M,32,0.5623,0.0145970805838832,ofcg60xu,0.0177964407118576,
62M,32,1.0,0.012997400519896,4nwdglhq,0.0177964407118576,
62M,100,0.0,0.0739852029594081,z4xx7jnx,0.0739852029594081,1.0
62M,100,0.1,0.0731853629274145,ac4n9tgo,0.0739852029594081,0.9891891891891892
62M,100,0.1778,0.0695860827834433,o4tlnvxa,0.0739852029594081,0.9405405405405407
62M,100,0.3162,0.0591881623675265,a0ojpavb,0.0739852029594081,0.8000000000000003
62M,100,0.5623,0.0367926414717056,ji4w4lif,0.0739852029594081,0.49729729729729666
62M,100,1.0,0.0141971605678864,7bs2mb3y,0.0739852029594081,0.19189189189189165
62M,316,0.0,0.7990401919616077,kwtjxpou,0.7990401919616077,1.0
62M,316,0.1,0.8006398720255948,icsl6hud,0.7990401919616077,1.002002002002002
62M,316,0.1778,0.7954409118176364,r1nq07de,0.7990401919616077,0.9954954954954954
62M,316,0.3162,0.7756448710257948,jso6fk99,0.7990401919616077,0.9707207207207207
62M,316,0.5623,0.6110777844431113,8ehkr45l,0.7990401919616077,0.7647647647647647
62M,316,1.0,0.018996200759848,911tkmsh,0.7990401919616077,0.023773773773773734
62M,0,0.75,0.008998200359928,tkxk74nu,0.0125974805038992,
62M,0,0.938,0.0087982403519296,o1t1j3iz,0.0125974805038992,
62M,0,1.2915,0.0121975604879024,0duu92lb,0.0125974805038992,
62M,0,1.5,0.0225954809038192,v2s5jw94,0.0125974805038992,
62M,1,0.75,0.0095980803839232,7tnhvy08,0.0087982403519296,
62M,1,0.938,0.0103979204159168,56ws3xh4,0.0087982403519296,
62M,1,1.2915,0.008998200359928,khgeffon,0.0087982403519296,
62M,1,1.5,0.0249950009998,iigr5d80,0.0087982403519296,
62M,3,0.75,0.0107978404319136,tsli3edk,0.0147970405918816,
62M,3,0.938,0.0093981203759248,jcks6jbc,0.0147970405918816,
62M,3,1.2915,0.0145970805838832,j1od8w2r,0.0147970405918816,
62M,3,1.5,0.0265946810637872,pcd9jv2o,0.0147970405918816,
62M,10,0.75,0.0135972805438912,d7ax4jp8,0.0165966806638672,
62M,10,0.938,0.0117976404719056,gf9befxr,0.0165966806638672,
62M,10,1.2915,0.0047990401919616,5aap5gu7,0.0165966806638672,
62M,10,1.5,0.0251949610077984,1rkhq2bw,0.0165966806638672,
62M,32,0.75,0.0125974805038992,3tzwx2v8,0.0177964407118576,
62M,32,0.938,0.0115976804639072,gr15fh7d,0.0177964407118576,
62M,32,1.2915,0.0113977204559088,5gz49frl,0.0177964407118576,
62M,32,1.5,0.0265946810637872,s7p1lt4w,0.0177964407118576,
62M,100,0.75,0.0247950409918016,711coqo8,0.0739852029594081,0.3351351351351347
62M,100,0.938,0.0175964807038592,gvhjz6dt,0.0739852029594081,0.23783783783783755
62M,100,1.2915,0.0097980403919216,xn7kha0t,0.0739852029594081,0.13243243243243227
62M,100,1.5,0.0173965206958608,2bkpsixm,0.0739852029594081,0.23513513513513487
62M,316,0.75,0.2871425714857029,mglt2q6c,0.7990401919616077,0.35935935935935936
62M,316,0.938,0.0327934413117376,7hpei6hg,0.7990401919616077,0.041041041041040977
62M,316,1.5,0.002999400119976,uiu1ua3f,0.7990401919616077,0.003753753753753748
62M,316,1.2915,0.0065986802639472,27w91a7w,0.7990401919616077,0.008258258258258246
93M,0,0.0,0.0073985202959408,k4j7fof8,0.0073985202959408,
93M,0,0.1,0.0075984803039392,vrzp1ehn,0.0073985202959408,
93M,0,0.1778,0.0115976804639072,8lmo8q8v,0.0073985202959408,
93M,0,0.3162,0.0117976404719056,gdr8o0qg,0.0073985202959408,
93M,0,0.5623,0.0077984403119376,j5y0jc3x,0.0073985202959408,
93M,0,1.0,0.011997600479904,fieok4eu,0.0073985202959408,
93M,1,0.0,0.0131973605278944,qbkm68yd,0.0131973605278944,
93M,1,0.1,0.0141971605678864,rywqzw5g,0.0131973605278944,
93M,1,0.1778,0.0151969606078784,nqkx12ct,0.0131973605278944,
93M,1,0.3162,0.0127974405118976,lywsffiz,0.0131973605278944,
93M,1,0.5623,0.0107978404319136,ny7ws1r1,0.0131973605278944,
93M,1,1.0,0.0133973205358928,id6t4p28,0.0131973605278944,
93M,3,0.0,0.0141971605678864,d8p2iszh,0.0141971605678864,
93M,3,0.1,0.0117976404719056,eclac3qe,0.0141971605678864,
93M,3,0.1778,0.0141971605678864,bik5podq,0.0141971605678864,
93M,3,0.3162,0.0145970805838832,jogf7698,0.0141971605678864,
93M,3,0.5623,0.0167966406718656,mdlsjjcv,0.0141971605678864,
93M,3,1.0,0.0091981603679264,aze4pskd,0.0141971605678864,
93M,10,0.0,0.0175964807038592,zeiydfz2,0.0175964807038592,
93M,10,0.1,0.0157968406318736,hlm65jnr,0.0175964807038592,
93M,10,0.1778,0.0173965206958608,ala9d8qk,0.0175964807038592,
93M,10,0.3162,0.0171965606878624,424bozwb,0.0175964807038592,
93M,10,0.5623,0.0177964407118576,g5hln02e,0.0175964807038592,
93M,10,1.0,0.010997800439912,sd3gq03o,0.0175964807038592,
93M,32,0.0,0.0253949210157968,1vkk44fb,0.0253949210157968,
93M,32,0.1,0.0215956808638272,tigkonh4,0.0253949210157968,
93M,32,0.1778,0.0203959208158368,vf6yw8ki,0.0253949210157968,
93M,32,0.3162,0.0201959608078384,v7ioisyg,0.0253949210157968,
93M,32,0.5623,0.0215956808638272,88ulzch2,0.0253949210157968,
93M,32,1.0,0.0133973205358928,o76qq9e6,0.0253949210157968,
93M,100,0.0,0.3729254149170166,7d18qqks,0.3729254149170166,1.0
93M,100,0.1,0.3723255348930214,azge81iw,0.3729254149170166,0.9983914209115282
93M,100,0.1778,0.3639272145570886,1pxwsyyg,0.3729254149170166,0.9758713136729223
93M,100,0.3162,0.3341331733653269,k64oys9m,0.3729254149170166,0.8959785522788203
93M,100,0.5623,0.2323535292941411,oh0oymll,0.3729254149170166,0.6230563002680963
93M,100,1.0,0.018996200759848,8fssvfve,0.3729254149170166,0.050938337801608495
93M,316,0.0,0.9872025594881024,5sd4yg0z,0.9872025594881024,1.0
93M,316,0.1,0.9872025594881024,574rg7im,0.9872025594881024,1.0
93M,316,0.1778,0.9866026794641072,6ebhvjnj,0.9872025594881024,0.9993923435284585
93M,316,0.3162,0.9846030793841232,pp0390fr,0.9872025594881024,0.9973668219566538
93M,316,0.5623,0.9348130373925216,xg6lpjjr,0.9872025594881024,0.9469313348187159
93M,316,1.0,0.0627874425114977,tkx76fik,0.9872025594881024,0.06360137735466882
93M,1000,0.0,0.9994001199760048,yy0kmcsk,0.9994001199760048,1.0
93M,1000,0.1,0.9994001199760048,72inevww,0.9994001199760048,1.0
93M,1000,0.1778,0.9994001199760048,kugdpq3e,0.9994001199760048,1.0
93M,1000,0.3162,0.9994001199760048,xojrkbd4,0.9994001199760048,1.0
93M,1000,0.5623,0.9964007198560288,qfortmri,0.9994001199760048,0.9969987995198081
93M,1000,1.0,0.1121775644871025,2bay3c7n,0.9994001199760048,0.1122448979591836
93M,0,0.75,0.0063987202559488,p0ipzcs8,0.0073985202959408,
93M,0,1.2915,0.0183963207358528,qztiihul,0.0073985202959408,
93M,0,1.5,0.0255948810237952,llxmtn0c,0.0073985202959408,
93M,1,0.75,0.0111977604479104,ris60eos,0.0131973605278944,
93M,1,0.938,0.0121975604879024,s6jqdupb,0.0131973605278944,
93M,1,1.2915,0.0095980803839232,71txekyr,0.0131973605278944,
93M,1,1.5,0.0257948410317936,tgdcz218,0.0131973605278944,
93M,3,0.75,0.01499700059988,4ccogw6v,0.0141971605678864,
93M,3,0.938,0.0117976404719056,0yfqc1vk,0.0141971605678864,
93M,3,1.2915,0.0115976804639072,d8yq5u02,0.0141971605678864,
93M,3,1.5,0.0183963207358528,138r7ucs,0.0141971605678864,
93M,10,0.75,0.0143971205758848,cjzidpq3,0.0175964807038592,
93M,10,0.938,0.0121975604879024,vr98j628,0.0175964807038592,
93M,10,1.2915,0.0157968406318736,oxaj5zvp,0.0175964807038592,
93M,10,1.5,0.003999200159968,e2dviaza,0.0175964807038592,
93M,32,0.75,0.0177964407118576,qewb07y0,0.0253949210157968,
93M,32,0.938,0.011997600479904,va5cwhtt,0.0253949210157968,
93M,32,1.2915,0.011997600479904,4o16jwpp,0.0253949210157968,
93M,32,1.5,0.002999400119976,bafjccsf,0.0253949210157968,
93M,100,0.75,0.1169766046790641,xinmwo9f,0.3729254149170166,0.3136729222520105
93M,100,0.938,0.025994801039792,lr7xz32a,0.3729254149170166,0.06970509383378005
93M,100,1.2915,0.0185962807438512,l73ij6dq,0.3729254149170166,0.049865951742627264
93M,100,1.5,0.020995800839832,7irnrlw9,0.3729254149170166,0.05630026809651466
93M,316,0.75,0.6530693861227754,c20yy9s2,0.9872025594881024,0.661535345351428
93M,316,0.938,0.1537692461507698,eu0f9344,0.9872025594881024,0.15576260887178445
93M,316,1.2915,0.0153969206158768,pzh5upni,0.9872025594881024,0.01559651610289647
93M,316,1.5,0.0063987202559488,vjh7alxa,0.9872025594881024,0.006481669029775156
93M,1000,0.75,0.860627874425115,qizm9xdw,0.9994001199760048,0.8611444577831133
93M,1000,0.938,0.2865426914617076,mujtq4cc,0.9994001199760048,0.2867146858743497
93M,1000,1.2915,0.0181963607278544,zi8s5vjt,0.9994001199760048,0.018207282913165236
93M,1000,1.5,0.0041991601679664,42lytpl8,0.9994001199760048,0.004201680672268901
93M,0,0.938,0.0073985202959408,2y8u5xet,0.0073985202959408,
153M,0,0.0,0.0117976404719056,c9boww7q,0.0117976404719056,
153M,0,0.1,0.0127974405118976,r09k0cto,0.0117976404719056,
153M,0,0.1778,0.0123975204959008,ebm3kzag,0.0117976404719056,
153M,0,0.3162,0.012997400519896,an5ca2zl,0.0117976404719056,
153M,0,0.5623,0.0097980403919216,cjhajlhh,0.0117976404719056,
153M,0,1.0,0.0093981203759248,f6vj4l0s,0.0117976404719056,
153M,1,0.0,0.0173965206958608,ionurkem,0.0173965206958608,
153M,1,0.1,0.015996800639872,b7m6v56q,0.0173965206958608,
153M,1,0.1778,0.0167966406718656,8zuomkrk,0.0173965206958608,
153M,1,0.3162,0.0175964807038592,mxhviuyb,0.0173965206958608,
153M,1,0.5623,0.0157968406318736,uaxy6f0q,0.0173965206958608,
153M,1,1.0,0.0103979204159168,tvkz37cy,0.0173965206958608,
153M,3,0.0,0.0181963607278544,h1eof0ky,0.0181963607278544,
153M,3,0.1,0.0191961607678464,xgl3msv1,0.0181963607278544,
153M,3,0.1778,0.0173965206958608,edmkroro,0.0181963607278544,
153M,3,0.3162,0.0175964807038592,t38odhq2,0.0181963607278544,
153M,3,0.5623,0.015996800639872,hyma7ge0,0.0181963607278544,
153M,3,1.0,0.012997400519896,f8wjalzy,0.0181963607278544,
153M,10,0.0,0.0177964407118576,fvzsslld,0.0177964407118576,
153M,10,0.1,0.016996600679864,fdazbbcg,0.0177964407118576,
153M,10,0.1778,0.018996200759848,xc90mg6w,0.0177964407118576,
153M,10,0.3162,0.0173965206958608,p9ywfc40,0.0177964407118576,
153M,10,0.5623,0.0167966406718656,3vuulmga,0.0177964407118576,
153M,10,1.0,0.0095980803839232,lz70ycgv,0.0177964407118576,
153M,32,0.0,0.0249950009998,4lmh2rch,0.0249950009998,
153M,32,0.1,0.0251949610077984,uegv0r0n,0.0249950009998,
153M,32,0.1778,0.027994401119776,2qhb7eqe,0.0249950009998,
153M,32,0.3162,0.0213957208558288,w2urc26b,0.0249950009998,
153M,32,0.5623,0.0243951209758048,gu559vfh,0.0249950009998,
153M,32,1.0,0.015996800639872,sdac0ks7,0.0249950009998,
153M,316,0.0,1.0,xqe689gl,1.0,1.0
153M,316,0.1,1.0,if411o20,1.0,1.0
153M,316,0.1778,1.0,rg6x6g6t,1.0,1.0
153M,316,0.3162,1.0,obimwje4,1.0,1.0
153M,316,0.5623,0.9852029594081184,tbo9i212,1.0,0.9852029594081184
153M,316,1.0,0.2513497300539892,nkqjmbs5,1.0,0.2513497300539892
153M,1000,0.0,1.0,kfeppd27,1.0,1.0
153M,1000,0.1,1.0,bz06nqby,1.0,1.0
153M,1000,0.1778,1.0,17v3yln2,1.0,1.0
153M,1000,0.3162,1.0,rphugyns,1.0,1.0
153M,1000,0.5623,0.9984003199360127,8066suhc,1.0,0.9984003199360127
153M,1000,1.0,0.2785442911417716,w1qu60ql,1.0,0.2785442911417716
153M,100,0.0,0.8088382323535293,k9wg5tyo,0.8088382323535293,1.0
153M,100,0.1,0.8084383123375325,ex1f7py9,0.8088382323535293,0.9995055624227441
153M,100,0.1778,0.8000399920015997,wigyqe4w,0.8088382323535293,0.9891223733003709
153M,100,0.3162,0.7636472705458909,wcsdse2y,0.8088382323535293,0.9441285537700866
153M,100,0.5623,0.5734853029394121,oq1rnzof,0.8088382323535293,0.7090234857849197
153M,100,1.0,0.052989402119576,f5w9ytz2,0.8088382323535293,0.06551297898640286
153M,0,1.2915,0.0115976804639072,en90bqd9,0.0117976404719056,
153M,10,0.75,0.0147970405918816,6rdkus8a,0.0177964407118576,
153M,10,0.938,0.0095980803839232,883675c7,0.0177964407118576,
153M,10,1.2915,0.0093981203759248,ncoyxbw9,0.0177964407118576,
153M,32,0.938,0.0171965606878624,nsz2tnt8,0.0249950009998,
153M,32,1.2915,0.0143971205758848,oemc71e3,0.0249950009998,
153M,32,1.5,0.01999600079984,soqi8mg3,0.0249950009998,
153M,100,0.75,0.3289342131573685,ls7qqhyk,0.8088382323535293,0.40667490729295425
153M,100,0.938,0.0949810037992401,j8mohi01,0.8088382323535293,0.11742892459826941
153M,100,1.2915,0.0133973205358928,afk3dzsu,0.8088382323535293,0.016563658838071666
153M,100,1.5,0.0249950009998,gjbouxb3,0.8088382323535293,0.030902348578491917
153M,316,0.75,0.8612277544491101,ftfwzvxr,1.0,0.8612277544491101
153M,316,0.938,0.4351129774045191,0lq644rb,1.0,0.4351129774045191
153M,316,1.2915,0.020995800839832,5ntvbaqr,1.0,0.020995800839832
153M,316,1.5,0.011997600479904,99m3pp93,1.0,0.011997600479904
153M,1000,0.75,0.9286142771445712,fnxlj914,1.0,0.9286142771445712
153M,1000,0.938,0.5450909818036392,twabzp89,1.0,0.5450909818036392
153M,1000,1.2915,0.0153969206158768,7hlm3q4n,1.0,0.0153969206158768
153M,1000,1.5,0.0105978804239152,go9sziun,1.0,0.0105978804239152
153M,0,0.75,0.0075984803039392,hnx3cjmi,0.0117976404719056,
153M,0,0.938,0.00999800039992,6eu6h6lb,0.0117976404719056,
153M,0,1.5,0.0105978804239152,jqfa9jee,0.0117976404719056,
153M,1,0.75,0.0123975204959008,zz19rknf,0.0173965206958608,
153M,1,0.938,0.0143971205758848,e8ruh303,0.0173965206958608,
153M,1,1.2915,0.0113977204559088,3h1lqdch,0.0173965206958608,
153M,1,1.5,0.0257948410317936,tjqbltuu,0.0173965206958608,
153M,3,0.75,0.0137972405518896,f67idqdj,0.0181963607278544,
153M,3,0.938,0.0123975204959008,0ny9cxwf,0.0181963607278544,
153M,3,1.2915,0.0195960807838432,q0zxcr6z,0.0181963607278544,
153M,3,1.5,0.0011997600479904,0qv9iq66,0.0181963607278544,
153M,10,1.5,0.0223955208958208,itwttof9,0.0177964407118576,
153M,32,0.75,0.0177964407118576,6dled82d,0.0249950009998,
344M,1,0.1,0.0157968406318736,60e0cjjy,0.012997400519896,
344M,1,0.1778,0.0145970805838832,3x3rglz3,0.012997400519896,
344M,1,0.3162,0.0133973205358928,6qnd8i83,0.012997400519896,
344M,1,0.5623,0.0183963207358528,laoopxzv,0.012997400519896,
344M,1,0.75,0.0137972405518896,8n70fz1j,0.012997400519896,
344M,1,0.938,0.0127974405118976,3lkxv7an,0.012997400519896,
344M,1,1.0,0.0107978404319136,2ukse903,0.012997400519896,
344M,1,1.2915,0.0187962407518496,4dwu1gpi,0.012997400519896,
344M,1,1.5,0.010997800439912,00d3dsng,0.012997400519896,
344M,3,0.0,0.0153969206158768,tkxvhxgf,0.0153969206158768,
344M,3,0.1,0.0167966406718656,5u15kanm,0.0153969206158768,
344M,3,0.1778,0.0167966406718656,3jplpj8q,0.0153969206158768,
344M,3,0.3162,0.0135972805438912,jr0d6o4w,0.0153969206158768,
344M,3,0.5623,0.0151969606078784,v4q22jhm,0.0153969206158768,
344M,3,0.75,0.0135972805438912,6jc8ia8j,0.0153969206158768,
344M,3,0.938,0.0111977604479104,uc9mmoc0,0.0153969206158768,
344M,3,1.0,0.0121975604879024,cifzzwgi,0.0153969206158768,
344M,3,1.2915,0.0193961207758448,pv5btg0p,0.0153969206158768,
344M,3,1.5,0.0215956808638272,zonxxkyn,0.0153969206158768,
344M,10,0.0,0.0217956408718256,r0m0b7k1,0.0217956408718256,
344M,10,0.1,0.0195960807838432,hrjkxhjs,0.0217956408718256,
344M,10,0.1778,0.021995600879824,jovy0x1k,0.0217956408718256,
344M,10,0.3162,0.021995600879824,hdzq9yrw,0.0217956408718256,
344M,10,0.5623,0.0181963607278544,9tztb4un,0.0217956408718256,
344M,10,0.75,0.0153969206158768,12wq7zs5,0.0217956408718256,
344M,10,0.938,0.012997400519896,tcr3l4if,0.0217956408718256,
344M,10,1.0,0.0103979204159168,htqkzwmo,0.0217956408718256,
344M,10,1.2915,0.0167966406718656,ow18j4fo,0.0217956408718256,
344M,10,1.5,0.0249950009998,i2yoj0h2,0.0217956408718256,
344M,32,0.0,0.1271745650869826,d3usgogz,0.1271745650869826,1.0
344M,32,0.1,0.1261747650469906,m2dgryns,0.1271745650869826,0.9921383647798742
344M,32,0.1778,0.1247750449910018,v4o340vw,0.1271745650869826,0.9811320754716981
344M,32,0.3162,0.1027794441111777,a0gga04t,0.1271745650869826,0.8081761006289303
344M,32,0.5623,0.0647870425914817,ip93o04i,0.1271745650869826,0.5094339622641509
344M,32,0.75,0.0421915616876624,mgd1crfw,0.1271745650869826,0.33176100628930766
344M,32,0.938,0.0261947610477904,pqhawod4,0.1271745650869826,0.20597484276729527
344M,32,1.0,0.0193961207758448,n6l0yo5p,0.1271745650869826,0.15251572327044002
344M,32,1.2915,0.0171965606878624,gka4n8sa,0.1271745650869826,0.1352201257861633
344M,32,1.5,0.0233953209358128,qtfz3s6x,0.1271745650869826,0.1839622641509431
344M,100,0.0,0.9912017596480704,k7crfmph,0.9912017596480704,1.0
344M,100,0.1,0.9914017196560688,iec1lb1j,0.9912017596480704,1.0002017349203147
344M,100,0.1778,0.991001799640072,os2d152i,0.9912017596480704,0.9997982650796852
344M,100,0.3162,0.9818036392721456,jtp6prqu,0.9912017596480704,0.9905184587452088
344M,100,0.5623,0.8552289542091581,l2mcf5kh,0.9912017596480704,0.8628202541859995
344M,100,0.75,0.5932813437312537,4h77m65h,0.9912017596480704,0.5985475085737341
344M,100,0.938,0.2709458108378324,x9d18wlj,0.9912017596480704,0.2733508170264273
344M,100,1.0,0.1787642471505698,tdr02xlh,0.9912017596480704,0.1803510187613475
344M,100,1.2915,0.0251949610077984,uecx1q3g,0.9912017596480704,0.02541859995965297
344M,100,1.5,0.020995800839832,i2vldcuw,0.9912017596480704,0.021182166633044147
344M,1000,0.0,1.0,uq8sunma,1.0,1.0
344M,1000,0.1,1.0,14vb1d0i,1.0,1.0
344M,1000,0.1778,1.0,etzqqf0k,1.0,1.0
344M,1000,0.3162,1.0,ql66rbol,1.0,1.0
344M,1000,0.5623,0.9996000799840032,m3q6x76u,1.0,0.9996000799840032
344M,1000,0.75,0.9898020395920816,mjr0gv6d,1.0,0.9898020395920816
344M,1000,0.938,0.873625274945011,j5orif9w,1.0,0.873625274945011
344M,1000,1.0,0.727254549090182,o08xuzrk,1.0,0.727254549090182
344M,1000,1.2915,0.0417916416716656,nf68ztl5,1.0,0.0417916416716656
344M,1000,1.5,0.01999600079984,eh3e9865,1.0,0.01999600079984
344M,3162,0.0,1.0,1yml0np5,1.0,1.0
344M,3162,0.1,1.0,dh8hn3as,1.0,1.0
344M,3162,0.1778,1.0,nkcoi5dy,1.0,1.0
344M,3162,0.3162,1.0,ki9k0ipd,1.0,1.0
344M,3162,0.5623,1.0,10zpmtfd,1.0,1.0
344M,3162,0.75,0.9984003199360127,jzv224tb,1.0,0.9984003199360127
344M,3162,0.938,0.9082183563287344,r9j1ynh5,1.0,0.9082183563287344
344M,3162,1.0,0.669866026794641,bvl778i1,1.0,0.669866026794641
344M,3162,1.2915,0.01999600079984,4l19ixio,1.0,0.01999600079984
344M,3162,1.5,0.011997600479904,kl6n601r,1.0,0.011997600479904
344M,1,0.0,0.012997400519896,2qi0kpg7,0.012997400519896,
