_step,_runtime,lm_eval_before_temp=0.0/exact_match_strict_match,lm_eval_before_temp=0.0/exact_match_flexible_extract,_timestamp,lm_eval_before_temp=0.316/exact_match_flexible_extract,lm_eval_before_temp=0.316/exact_match_strict_match,lm_eval_before_temp=1.0/exact_match_flexible_extract,lm_eval_before_temp=1.0/exact_match_strict_match,eval/loss,train/num_input_tokens_seen,eval/num_tokens,eval/model_preparation_time,eval/steps_per_second,eval/samples_per_second,eval/mean_token_accuracy,eval/runtime,train/global_step,eval_before/eval_model_preparation_time,eval_before/eval_samples_per_second,eval_before/eval_runtime,eval_before/eval_steps_per_second,eval_before/eval_loss,train/mean_token_accuracy,train/num_tokens,train/loss,train/grad_norm,train/train_tokens_per_second,train/learning_rate,train/epoch,eval_after/eval_model_preparation_time,eval_after/eval_steps_per_second,eval_after/eval_samples_per_second,eval_after/eval_runtime,eval_after/eval_loss,lm_eval_after_temp=0.0/exact_match_flexible_extract,lm_eval_after_temp=0.0/exact_match_strict_match,lm_eval_after_temp=0.316/exact_match_strict_match,lm_eval_after_temp=0.316/exact_match_flexible_extract,lm_eval_after_temp=1.0/exact_match_flexible_extract,lm_eval_after_temp=1.0/exact_match_strict_match,run_id,model_fitting_iteration
86,5123.361889977,,,1754311213.8902042,,,,,0.16308286786079407,2987767.0,2507574.0,0.0079,1.382,43.974,0.9614351595702925,27.4934,205.0,,,,,,,,,,,,10.793388429752067,,,,,,,,,,,,1mcbn57f,0
87,5211.501348595,,,1754311302.0296555,,,,,,3060404.0,,,,,,,210.0,,,,,,0.9519103985683174,2568510.0,6.1804,151.0,634.847,1.41e-05,11.052892561983471,,,,,,,,,,,,1mcbn57f,0
88,5239.029254398,,,1754311329.5573988,,,,,0.1476927101612091,3060404.0,2568510.0,0.0079,1.381,43.938,0.9652677978339949,27.5163,210.0,,,,,,,,,,,,11.052892561983471,,,,,,,,,,,,1mcbn57f,0
82,4892.544487879,,,1754310983.0323246,,,,,0.20006543397903442,2841495.0,2385418.0,0.0079,1.377,43.823,0.9500433096760198,27.5885,195.0,,,,,,,,,,,,10.264462809917354,,,,,,,,,,,,1mcbn57f,0
74,4427.389262507,,,1754310517.9176347,,,,,0.2911188006401062,2548989.0,2138894.0,0.0079,1.381,43.948,0.9234459117839211,27.5099,175.0,,,,,,,,,,,,9.211570247933885,,,,,,,,,,,,1mcbn57f,0
108,6405.36387302,,,1754312495.8922446,,,,,0.07232145220041275,3788002.0,3180324.0,0.0079,1.383,43.987,0.9850459851716694,27.4855,260.0,,,,,,,,,,,,13.687603305785125,,,,,,,,,,,,1mcbn57f,0
110,6521.932374324,,,1754312612.4607227,,,,,0.06820763647556305,3861534.0,3241763.0,0.0079,1.381,43.941,0.9866489517061334,27.5141,265.0,,,,,,,,,,,,13.952066115702479,,,,,,,,,,,,1mcbn57f,0
129,7579.615577714,,,1754313670.1437273,,,,,,4587431.0,,,,,,,315.0,,,,,,0.9868534777313471,3852791.0,2.0052,179.0,638.135,1.41e-05,16.581818181818182,,,,,,,,,,,,1mcbn57f,0
130,7607.128685247,,,1754313697.6570385,,,,,0.053354255855083466,4587431.0,3852791.0,0.0079,1.382,43.959,0.9895794517115543,27.5028,315.0,,,,,,,,,,,,16.581818181818182,,,,,,,,,,,,1mcbn57f,0
131,7697.527825031,,,1754313788.056212,,,,,,4661013.0,,,,,,,320.0,,,,,,0.9867297798395157,3914595.0,2.052,149.0,637.908,1.41e-05,16.846280991735537,,,,,,,,,,,,1mcbn57f,0
132,7725.100038866,,,1754313815.6283803,,,,,0.05248061940073967,4661013.0,3914595.0,0.0079,1.379,43.865,0.9898118737496828,27.5617,320.0,,,,,,,,,,,,16.846280991735537,,,,,,,,,,,,1mcbn57f,0
133,7815.00568381,,,1754313905.534104,,,,,,4733123.0,,,,,,,325.0,,,,,,0.9877185012884201,3974949.0,1.9684,169.0,637.527,1.41e-05,17.105785123966943,,,,,,,,,,,,1mcbn57f,0
134,7842.501042838,,,1754313933.0293884,,,,,0.052344176918268204,4733123.0,3974949.0,0.0079,1.383,43.989,0.98988665091364,27.4841,325.0,,,,,,,,,,,,17.105785123966943,,,,,,,,,,,,1mcbn57f,0
128,7530.674145164,,,1754313621.202484,,,,,0.05485277250409126,4514423.0,3791701.0,0.0079,1.38,43.915,0.9891483124933744,27.5304,310.0,,,,,,,,,,,,16.317355371900828,,,,,,,,,,,,1mcbn57f,0
135,7933.990540609,,,1754314024.5187805,,,,,,4807769.0,,,,,,,330.0,,,,,,0.9891388822346926,4036728.0,1.7351,181.0,637.366,1.41e-05,17.370247933884297,,,,,,,,,,,,1mcbn57f,0
137,8010.220604088,,,1754314100.748799,,,,,,4878761.0,,,,,,,335.0,,,,,,0.9872103977948428,4096077.0,2.036,96.0,640.307,1.41e-05,17.63471074380165,,,,,,,,,,,,1mcbn57f,0
138,8037.731205739,,,1754314128.2595856,,,,,0.05337154120206833,4878761.0,4096077.0,0.0079,1.382,43.963,0.9896135110604135,27.5005,335.0,,,,,,,,,,,,17.63471074380165,,,,,,,,,,,,1mcbn57f,0
139,8086.302381756,,,1754314176.830828,,,,,,4952961.0,,,,,,,340.0,,,,,,0.986851841583848,4158591.0,2.1211,116.0,643.618,1.41e-05,17.89917355371901,,,,,,,,,,,,1mcbn57f,0
140,8113.804474154,,,1754314204.3328547,,,,,0.05271154269576073,4952961.0,4158591.0,0.0079,1.382,43.976,0.9899032147307145,27.492,340.0,,,,,,,,,,,,17.89917355371901,,,,,,,,,,,,1mcbn57f,0
141,8161.748245952,,,1754314252.2764425,,,,,,5026532.0,,,,,,,345.0,,,,,,0.9890845782437901,4220099.0,1.7717,67.5,646.837,1.41e-05,18.158677685950412,,,,,,,,,,,,1mcbn57f,0
142,8189.290310295,,,1754314279.818688,,,,,0.051047541201114655,5026532.0,4220099.0,0.0079,1.38,43.914,0.99013615125104,27.5312,345.0,,,,,,,,,,,,18.158677685950412,,,,,,,,,,,,1mcbn57f,0
136,7961.487718121,,,1754314052.0160978,,,,,0.0538785494863987,4807769.0,4036728.0,0.0079,1.382,43.984,0.9893626649128763,27.4875,330.0,,,,,,,,,,,,17.370247933884297,,,,,,,,,,,,1mcbn57f,0
109,6494.407674445,,,1754312584.9360662,,,,,,3861534.0,,,,,,,265.0,,,,,,0.9795146375894547,3241763.0,3.0712,188.0,632.665,1.41e-05,13.952066115702479,,,,,,,,,,,,1mcbn57f,0
127,7503.133111131,,,1754313593.6615522,,,,,,4514423.0,,,,,,,310.0,,,,,,0.9883879221975803,3791701.0,1.8886,119.5,634.732,1.41e-05,16.317355371900828,,,,,,,,,,,,1mcbn57f,0
125,7383.685482373,,,1754313474.213892,,,,,,4443521.0,,,,,,,305.0,,,,,,0.9855832878951054,3731230.0,2.2324,85.0,635.435,1.41e-05,16.05289256198347,,,,,,,,,,,,1mcbn57f,0
111,6614.078780371,,,1754312704.6072106,,,,,,3933891.0,,,,,,,270.0,,,,,,0.9852525439991313,3302323.0,2.3706,137.0,632.126,1.41e-05,14.211570247933885,,,,,,,,,,,,1mcbn57f,0
112,6641.633026629,,,1754312732.161398,,,,,0.06441300362348557,3933891.0,3302323.0,0.0079,1.38,43.895,0.9871756356013449,27.5431,270.0,,,,,,,,,,,,14.211570247933885,,,,,,,,,,,,1mcbn57f,0
113,6731.024551726,,,1754312821.5529323,,,,,,4006141.0,,,,,,,275.0,,,,,,0.9853168748319149,3363409.0,2.2651,144.0,631.862,1.41e-05,14.47603305785124,,,,,,,,,,,,1mcbn57f,0
114,6758.504868648,,,1754312849.0332224,,,,,0.06343068182468414,4006141.0,3363409.0,0.0079,1.383,44.011,0.98734901767028,27.4702,275.0,,,,,,,,,,,,14.47603305785124,,,,,,,,,,,,1mcbn57f,0
115,6846.452316337,,,1754312936.980754,,,,,,4078697.0,,,,,,,280.0,,,,,,0.9846060391515493,3424224.0,2.398,148.0,631.803,1.41e-05,14.740495867768596,,,,,,,,,,,,1mcbn57f,0
116,6874.004338442,,,1754312964.5327215,,,,,0.06365635991096497,4078697.0,3424224.0,0.0079,1.38,43.898,0.9875256544665286,27.5413,280.0,,,,,,,,,,,,14.740495867768596,,,,,,,,,,,,1mcbn57f,0
126,7411.223756648,,,1754313501.752082,,,,,0.05452942103147507,4443521.0,3731230.0,0.0079,1.38,43.921,0.9894051018514132,27.5265,305.0,,,,,,,,,,,,16.05289256198347,,,,,,,,,,,,1mcbn57f,0
117,6920.700304338,,,1754313011.2284179,,,,,,4151759.0,,,,,,,285.0,,,,,,0.9827931808058623,3485490.0,2.5788,189.0,635.808,1.41e-05,15.0,,,,,,,,,,,,1mcbn57f,0
119,7034.882916028,,,1754313125.4109926,,,,,,4227591.0,,,,,,,290.0,,,,,,0.9880924154073,3548587.0,1.945,147.0,636.295,1.41e-05,15.264462809917354,,,,,,,,,,,,1mcbn57f,0
120,7062.348871342,,,1754313152.8772311,,,,,0.05868638679385185,4227591.0,3548587.0,0.0079,1.384,44.036,0.9885807805939725,27.4551,290.0,,,,,,,,,,,,15.264462809917354,,,,,,,,,,,,1mcbn57f,0
121,7150.614289389,,,1754313241.1427402,,,,,,4300193.0,,,,,,,295.0,,,,,,0.9864630401134491,3609997.0,2.1372,122.5,636.141,1.41e-05,15.52892561983471,,,,,,,,,,,,1mcbn57f,0
122,7178.110543566,,,1754313268.6389134,,,,,0.05806099250912666,4300193.0,3609997.0,0.0079,1.383,43.986,0.9886829507978339,27.4858,295.0,,,,,,,,,,,,15.52892561983471,,,,,,,,,,,,1mcbn57f,0
123,7265.521442155,,,1754313356.0498836,,,,,,4371243.0,,,,,,,300.0,,,,,,0.9855012994259595,3670887.0,2.279,154.0,635.844,1.41e-05,15.793388429752067,,,,,,,,,,,,1mcbn57f,0
124,7293.04078259,,,1754313383.569193,,,,,0.05648890882730484,4371243.0,3670887.0,0.0079,1.381,43.95,0.989062698263871,27.5088,300.0,,,,,,,,,,,,15.793388429752067,,,,,,,,,,,,1mcbn57f,0
118,6948.107265188,,,1754313038.6353495,,,,,0.06029632315039635,4151759.0,3485490.0,0.0079,1.387,44.13,0.988289823657588,27.3965,285.0,,,,,,,,,,,,15.0,,,,,,,,,,,,1mcbn57f,0
143,8278.425602923,,,1754314368.9540212,,,,,,5100250.0,,,,,,,350.0,,,,,,0.9886930640786886,4282322.0,1.8284,160.0,646.615,1.41e-05,18.42314049586777,,,,,,,,,,,,1mcbn57f,0
73,4399.868310301,,,1754310490.3967514,,,,,,2548989.0,,,,,,,175.0,,,,,,0.9171974689337858,2138894.0,10.0126,224.0,635.807,1.41e-05,9.211570247933885,,,,,,,,,,,,1mcbn57f,0
71,4282.896915241,,,1754310373.425337,,,,,,2479184.0,,,,,,,170.0,,,,,,0.8932256665080786,2080364.0,12.7371,194.0,636.98,1.4017058823529413e-05,8.952066115702479,,,,,,,,,,,,1mcbn57f,0
14,931.305376471,,,1754307021.8337162,,,,,1.5170668363571167,365983.0,306161.0,0.0079,1.386,44.098,0.701167682283803,27.416,25.0,,,,,,,,,,,,1.3173553719008264,,,,,,,,,,,,1mcbn57f,0
13,903.878939204,,,1754306994.4073675,,,,,,365983.0,,,,,,,25.0,,,,,,0.6930294737219811,306161.0,52.63,668.0,713.318,1.9905882352941176e-06,1.3173553719008264,,,,,,,,,,,,1mcbn57f,0
12,814.475107979,,,1754306905.0034845,,,,,1.6725361347198486,291899.0,244185.0,0.0079,1.386,44.092,0.6890121447412592,27.4199,20.0,,,,,,,,,,,,1.052892561983471,,,,,,,,,,,,1mcbn57f,0
11,787.043969051,,,1754306877.57232,,,,,,291899.0,,,,,,,20.0,,,,,,0.6791180364645211,244185.0,56.181,844.0,736.68,1.5758823529411766e-06,1.052892561983471,,,,,,,,,,,,1mcbn57f,0
10,698.735618488,,,1754306789.2639668,,,,,1.7905701398849487,221700.0,185777.0,0.0079,1.383,44.013,0.679988969313471,27.4691,15.0,,,,,,,,,,,,0.7933884297520661,,,,,,,,,,,,1mcbn57f,0
9,671.256089454,,,1754306761.7845232,,,,,,221700.0,,,,,,,15.0,,,,,,0.6709225125610828,185777.0,60.1827,944.0,790.52,1.1611764705882353e-06,0.7933884297520661,,,,,,,,,,,,1mcbn57f,0
15,1021.583694714,,,1754307112.1120915,,,,,,439697.0,,,,,,,30.0,,,,,,0.6978950835764408,367446.0,47.0722,532.0,697.073,2.405294117647059e-06,1.5818181818181818,,,,,,,,,,,,1mcbn57f,0
8,582.927079312,,,1754306673.455453,,,,,1.8737292289733887,148590.0,124175.0,0.0079,1.383,43.991,0.6750463561007851,27.4829,10.0,,,,,,,,,,,,0.5289256198347108,,,,,,,,,,,,1mcbn57f,0
6,470.979089806,,,1754306561.5074124,,,,,1.9042575359344482,74062.0,62378.0,0.0079,1.197,38.074,0.6735874461500269,31.7542,5.0,,,,,,,,,,,,0.2644628099173554,,,,,,,,,,,,1mcbn57f,0
5,439.213631546,,,1754306529.7420626,,,,,,74062.0,,,,,,,5.0,,,,,,0.6696365099400282,62378.0,62.0143,1184.0,1530.027,3.3176470588235297e-07,0.2644628099173554,,,,,,,,,,,,1mcbn57f,0
4,390.517894232,,,1754306481.0464046,,,,,,,,,,,,,0.0,0.0079,38.973,31.0216,1.225,1.9099127054214478,,,,,,,,,,,,,,,,,,,1mcbn57f,0
3,390.517581581,,,1754306481.0459943,,,,,1.9099127054214478,0.0,0.0,0.0079,1.225,38.973,0.6732088609745628,31.0216,0.0,,,,,,,,,,,,,,,,,,,,,,,,1mcbn57f,0
2,345.755290844,,,1754306436.2836556,,,0.0273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1mcbn57f,0
1,231.004318247,,,1754306321.5326748,0.0314,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1mcbn57f,0
7,555.433607434,,,1754306645.9620526,,,,,,148590.0,,,,,,,10.0,,,,,,0.6676202304661274,124175.0,62.4112,1072.0,902.592,7.464705882352941e-07,0.5289256198347108,,,,,,,,,,,,1mcbn57f,0
0,113.931097994,0.0,0.0248,1754306204.4592655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1mcbn57f,0
16,1049.003819002,,,1754307139.5321963,,,,,1.3244097232818604,439697.0,367446.0,0.0079,1.386,44.108,0.7180562411483965,27.4101,30.0,,,,,,,,,,,,1.5818181818181818,,,,,,,,,,,,1mcbn57f,0
35,2192.473725676,,,1754308283.0020976,,,,,,1168399.0,,,,,,,80.0,,,,,,0.7888514551387471,979932.0,25.6028,71.5,648.51,6.552352941176471e-06,4.211570247933884,,,,,,,,,,,,1mcbn57f,0
32,1986.468571714,,,1754308076.9969273,,,,,0.8311482071876526,1023940.0,857259.0,0.0079,1.385,44.078,0.786863774061203,27.4287,70.0,,,,,,,,,,,,3.687603305785124,,,,,,,,,,,,1mcbn57f,0
31,1959.029523578,,,1754308049.5578628,,,,,,1023940.0,,,,,,,70.0,,,,,,0.7807910703122616,857259.0,27.4479,80.5,652.931,5.722941176470589e-06,3.687603305785124,,,,,,,,,,,,1mcbn57f,0
30,1870.761322512,,,1754307961.289678,,,,,0.8489553332328796,949746.0,795799.0,0.0079,1.381,43.941,0.7836914360523224,27.5141,65.0,,,,,,,,,,,,3.4231404958677687,,,,,,,,,,,,1mcbn57f,0
29,1843.236873196,,,1754307933.7653244,,,,,,949746.0,,,,,,,65.0,,,,,,0.7803729705512523,795799.0,27.8097,80.5,653.902,5.3082352941176476e-06,3.4231404958677687,,,,,,,,,,,,1mcbn57f,0
28,1751.742045766,,,1754307842.2703729,,,,,0.8680523633956909,874838.0,732720.0,0.0079,1.384,44.031,0.7801346684757032,27.4577,60.0,,,,,,,,,,,,3.1586776859504133,,,,,,,,,,,,1mcbn57f,0
27,1724.272839483,,,1754307814.8012357,,,,,,874838.0,,,,,,,60.0,,,,,,0.7718481702409732,732720.0,28.9411,136.0,656.064,4.893529411764706e-06,3.1586776859504133,,,,,,,,,,,,1mcbn57f,0
17,1141.852012509,,,1754307232.3804502,,,,,,513165.0,,,,,,,35.0,,,,,,0.7231074843555689,429733.0,41.0955,264.0,683.269,2.82e-06,1.8462809917355372,,,,,,,,,,,,1mcbn57f,0
26,1636.273595681,,,1754307726.8019505,,,,,0.8930550813674927,804906.0,674316.0,0.0079,1.384,44.029,0.7770391890877172,27.4594,55.0,,,,,,,,,,,,2.899173553719008,,,,,,,,,,,,1mcbn57f,0
24,1519.631353507,,,1754307610.1596942,,,,,0.9247735142707825,729814.0,611595.0,0.0079,1.384,44.045,0.7681317486261067,27.4495,50.0,,,,,,,,,,,,2.634710743801653,,,,,,,,,,,,1mcbn57f,0
23,1492.171359281,,,1754307582.6997685,,,,,,729814.0,,,,,,,50.0,,,,,,0.7622727420181036,611595.0,30.6038,124.5,662.646,4.064117647058823e-06,2.634710743801653,,,,,,,,,,,,1mcbn57f,0
22,1403.72080012,,,1754307494.24915,,,,,0.9794390797615051,657262.0,550825.0,0.0079,1.383,44.008,0.7601837892281381,27.4722,45.0,,,,,,,,,,,,2.3702479338842974,,,,,,,,,,,,1mcbn57f,0
21,1376.238095808,,,1754307466.766545,,,,,,657262.0,,,,,,,45.0,,,,,,0.7542963661253452,550825.0,33.3871,152.0,666.98,3.649411764705883e-06,2.3702479338842974,,,,,,,,,,,,1mcbn57f,0
20,1286.603561452,,,1754307377.1319313,,,,,1.0596439838409424,584052.0,489606.0,0.0079,1.38,43.908,0.7534371677197909,27.5349,40.0,,,,,,,,,,,,2.105785123966942,,,,,,,,,,,,1mcbn57f,0
19,1259.057201088,,,1754307349.5856102,,,,,,584052.0,,,,,,,40.0,,,,,,0.735421591503605,489606.0,36.4484,166.0,672.678,3.2347058823529413e-06,2.105785123966942,,,,,,,,,,,,1mcbn57f,0
25,1608.80387977,,,1754307699.3321664,,,,,,804906.0,,,,,,,55.0,,,,,,0.7720764577388763,674316.0,28.9946,94.0,660.845,4.478823529411764e-06,2.899173553719008,,,,,,,,,,,,1mcbn57f,0
72,4310.388757913,,,1754310400.9170752,,,,,0.3181776702404022,2479184.0,2080364.0,0.0079,1.383,43.994,0.9169580340385437,27.4812,170.0,,,,,,,,,,,,8.952066115702479,,,,,,,,,,,,1mcbn57f,0
36,2219.946563831,,,1754308310.4749293,,,,,0.7954257130622864,1168399.0,979932.0,0.0079,1.384,44.025,0.793900014538514,27.4616,80.0,,,,,,,,,,,,4.211570247933884,,,,,,,,,,,,1mcbn57f,0
38,2338.073234201,,,1754308428.6015291,,,,,0.7774221301078796,1241689.0,1040871.0,0.0079,1.384,44.029,0.7976471232740503,27.4594,85.0,,,,,,,,,,,,4.4760330578512395,,,,,,,,,,,,1mcbn57f,0
57,3465.528493645,,,1754309556.056729,,,,,,1970564.0,,,,,,,135.0,,,,,,0.8411826476169999,1651897.0,18.3103,97.0,640.892,1.1114117647058823e-05,7.1057851239669425,,,,,,,,,,,,1mcbn57f,0
58,3493.006424208,,,1754309583.5347836,,,,,0.5223949551582336,1970564.0,1651897.0,0.0079,1.383,44.017,0.858285455327285,27.4667,135.0,,,,,,,,,,,,7.1057851239669425,,,,,,,,,,,,1mcbn57f,0
59,3582.805252684,,,1754309673.3336527,,,,,,2043942.0,,,,,,,140.0,,,,,,0.863278154283762,1713238.0,16.1759,185.0,640.333,1.1528823529411765e-05,7.370247933884298,,,,,,,,,,,,1mcbn57f,0
60,3610.29153079,,,1754309700.81991,,,,,0.48806169629096985,2043942.0,1713238.0,0.0079,1.383,44.002,0.8673755761824156,27.4757,140.0,,,,,,,,,,,,7.370247933884298,,,,,,,,,,,,1mcbn57f,0
61,3698.924678003,,,1754309789.4531019,,,,,,2115844.0,,,,,,,145.0,,,,,,0.8594518885016441,1773384.0,16.4513,159.0,639.592,1.1943529411764706e-05,7.634710743801653,,,,,,,,,,,,1mcbn57f,0
